  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1B GL2-C1A C1A-D2A D2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
    172  -0.111   0.630  -0.203   0.291  -0.058   0.384   0.242   0.180   0.449   0.348   0.184
    173  -0.118   0.603  -0.231   0.259  -0.033   0.443   0.221   0.204   0.465   0.340   0.207
    174  -0.151   0.619  -0.199   0.319  -0.079   0.374   0.258   0.168   0.468   0.357   0.194
    175  -0.167   0.632  -0.238   0.265  -0.027   0.393   0.245   0.190   0.426   0.386   0.198
    176  -0.127   0.642  -0.232   0.313  -0.061   0.403   0.234   0.154   0.425   0.358   0.181
    177  -0.146   0.632  -0.206   0.293  -0.067   0.437   0.251   0.191   0.451   0.325   0.230
    178  -0.125   0.611  -0.193   0.297  -0.068   0.400   0.244   0.180   0.469   0.367   0.241
    179  -0.089   0.612  -0.188   0.301  -0.040   0.407   0.213   0.181   0.444   0.335   0.209
    180  -0.142   0.660  -0.238   0.276  -0.050   0.397   0.236   0.184   0.456   0.378   0.224
    181  -0.117   0.641  -0.231   0.293  -0.076   0.417   0.239   0.217   0.441   0.342   0.215
    182  -0.116   0.630  -0.214   0.309  -0.069   0.388   0.240   0.217   0.471   0.365   0.216
    183  -0.161   0.619  -0.226   0.277  -0.045   0.456   0.190   0.152   0.488   0.351   0.204
    184  -0.118   0.627  -0.209   0.310  -0.043   0.376   0.240   0.198   0.451   0.372   0.259
    185  -0.140   0.610  -0.205   0.313  -0.086   0.418   0.265   0.156   0.473   0.402   0.221
    186  -0.101   0.611  -0.211   0.289  -0.049   0.408   0.228   0.185   0.441   0.371   0.223
    187  -0.177   0.615  -0.231   0.268  -0.056   0.388   0.253   0.187   0.450   0.347   0.188
    188  -0.166   0.617  -0.252   0.258  -0.003   0.448   0.241   0.178   0.426   0.362   0.225
    189  -0.126   0.606  -0.234   0.321  -0.077   0.430   0.213   0.185   0.470   0.372   0.198
    190  -0.123   0.611  -0.222   0.310  -0.048   0.407   0.276   0.243   0.414   0.339   0.221
    191  -0.122   0.630  -0.238   0.283  -0.081   0.401   0.239   0.239   0.436   0.332   0.180
    192  -0.103   0.612  -0.212   0.280  -0.059   0.429   0.186   0.178   0.475   0.363   0.208
    193  -0.149   0.605  -0.169   0.330  -0.099   0.393   0.233   0.164   0.406   0.330   0.178
    194  -0.120   0.638  -0.226   0.274  -0.029   0.399   0.229   0.175   0.434   0.373   0.216
    195  -0.123   0.624  -0.242   0.283  -0.039   0.395   0.248   0.207   0.480   0.326   0.207
    196  -0.106   0.611  -0.221   0.256  -0.066   0.393   0.233   0.211   0.474   0.395   0.242
    197  -0.171   0.645  -0.222   0.265  -0.035   0.406   0.242   0.194   0.471   0.380   0.211
    198  -0.141   0.627  -0.188   0.313  -0.072   0.434   0.218   0.211   0.495   0.372   0.228
    199  -0.130   0.627  -0.227   0.290  -0.055   0.373   0.201   0.209   0.449   0.392   0.237
